id,titulo,inicio,fin,todo_el_dia,calendario,color_id,color_nombre,etiqueta,color_hex,usa_color_predeterminado,color,telefono,nombre,pendiente,cotizacion,p,requerimiento,notas,descripcion,ubicacion
2jui4u3490ptn3tvnaakpvhska,FRENTE+PORTA PIES K2700 1 CAB. ORDEN 3037,2026-07-21T14:00:00-04:00,2026-07-21T14:30:00-04:00,No,PUESTO 3 ARMADOR,17,Otro,NONE,#9a9cff,Si,,,,,,,,,,
1r18i2npntt5defri242t68tgo,FRENTE+PORTA PIES K2700 1 CAB. ORDEN 3038 ,2026-07-21T14:30:00-04:00,2026-07-21T15:00:00-04:00,No,PUESTO 3 ARMADOR,17,Otro,NONE,#9a9cff,Si,,,,,,,,,,
0mniquc8i4p8eqjm0539j4q91o,FRENTE N400 ORDEN 0950 DIA 29,2026-07-21T15:00:00-04:00,2026-07-21T15:30:00-04:00,No,PUESTO 3 ARMADOR,17,Otro,NONE,#9a9cff,Si,,,,,,,,,,
2an0vdtab75opkim2hkovqur2v,FRENTE COASTER 2027 ORDEN 0929 DIA 22,2026-07-22T01:00:00-04:00,2026-07-22T02:00:00-04:00,No,PUESTO 3 ARMADOR,17,Otro,NONE,#9a9cff,Si,,,,,,,,,,
5oldfucbnat125uv86lt8jp4er,FRENTE TOWN ACE 2019 ORDEN 0965 DIA 31,2026-07-22T02:00:00-04:00,2026-07-22T03:00:00-04:00,No,PUESTO 3 ARMADOR,17,Otro,NONE,#9a9cff,Si,,,,,,,,,,
2ihh0k6oebkqj5kr164j79vjkq,FRENTE TOWN ACE 2020 ORDEN 0966 DIA 1 ,2026-07-22T03:00:00-04:00,2026-07-22T04:00:00-04:00,No,PUESTO 3 ARMADOR,17,Otro,NONE,#9a9cff,Si,,,,,,,,,,
7vmbjeo2lp5625otq691mr909b,FRENTE HIJET ORDEN 2077,2026-07-25T01:00:00-04:00,2026-07-25T02:00:00-04:00,No,PUESTO 3 ARMADOR,17,Otro,NONE,#9a9cff,Si,,,,,,,,,,
33v9mq95qik3ih9dg4j9m26us5,FRENTE HIJET ORDEN 2078,2026-07-25T02:00:00-04:00,2026-07-25T03:00:00-04:00,No,PUESTO 3 ARMADOR,17,Otro,NONE,#9a9cff,Si,,,,,,,,,,
314ahg2lvett1gq441a1e93h8h,FRENTE HIJET ORDEN 2082,2026-07-28T02:15:00-04:00,2026-07-28T03:15:00-04:00,No,PUESTO 3 ARMADOR,17,Otro,NONE,#9a9cff,Si,,,,,,,,,,
5j1v58oo04cup9rvqrjlphjuth,FRENTE HIJET ORDEN 2083 ,2026-07-28T03:15:00-04:00,2026-07-28T04:15:00-04:00,No,PUESTO 3 ARMADOR,17,Otro,NONE,#9a9cff,Si,,,,,,,,,,
